District,U/R,CPN,Discp.
KHAIRPUR,R,74.518,PG
KHAIRPUR,R,74.248,EL-K
KHAIRPUR,R,73.99,EL-K
KHAIRPUR,R,73.94800000000001,IN
KHAIRPUR,R,73.908,ME-K
KHAIRPUR,R,73.892,EL-K
KHAIRPUR,R,73.795,CS
KHAIRPUR,R,73.503,ME-K
KHAIRPUR,R,73.43,ME-K
KHAIRPUR,R,73.403,ME-K
KHAIRPUR,R,73.314,CS
KHAIRPUR,R,73.29,CRP
KHAIRPUR,R,73.26,ME-K
KHAIRPUR,R,73.164,ME-K
KHAIRPUR,R,73.16,TL
KHAIRPUR,R,72.682,TL
KHAIRPUR,R,72.567,ES-K
KHAIRPUR,R,72.425,BM
KHAIRPUR,R,72.39,ES-K
KHAIRPUR,R,72.204,PG-K
KHAIRPUR,R,72.065,ES-K
KHAIRPUR,R,72.063,PG-K
KHAIRPUR,R,72.02,EE
KHAIRPUR,R,71.873,PG-K
KHAIRPUR,R,71.85300000000001,MT
KHAIRPUR,R,71.791,SW-K
KHAIRPUR,R,71.676,PG-K
KHAIRPUR,R,71.59899999999999,PG-K
KHAIRPUR,R,71.571,PG-K
KHAIRPUR,R,71.567,AR
KHAIRPUR,R,71.456,AR
KHAIRPUR,R,71.418,AR
KHAIRPUR,R,71.375,CRP
KHAIRPUR,R,71.24,TL
KHAIRPUR,R,71.123,TL
KHAIRPUR,R,71.013,CRP
KHAIRPUR,R,70.913,MT
KHAIRPUR,R,70.748,MN
KHAIRPUR,R,70.626,TE
KHAIRPUR,R,70.514,TE
KHAIRPUR,R,70.38,TE
LARKANA,U,84.65899999999999,CE
LARKANA,U,84.26100000000001,EL
LARKANA,U,79.021,CS
LARKANA,U,77.842,SW
LARKANA,U,77.69,CE-K
LARKANA,U,77.347,CS
LARKANA,U,77.278,SW
LARKANA,U,75.703,EL-K
LARKANA,U,75.696,PG
LARKANA,U,74.548,EE
LARKANA,U,74.52199999999999,MT
LARKANA,U,74.36,ME-K
LARKANA,U,74.10300000000001,ME-K
LARKANA,U,72.472,SW-K
LARKANA,R,82.111,CE-K
LARKANA,R,81.921,ME
LARKANA,R,81.402,ES
LARKANA,R,79.202,ES
LARKANA,R,78.669,CE-K
LARKANA,R,78.358,CH
LARKANA,R,77.768,SW
LARKANA,R,77.255,MTE
LARKANA,R,76.791,EL-K
LARKANA,R,76.26899999999999,CH
LARKANA,R,76.148,PG
LARKANA,R,76.082,ME-K
LARKANA,R,75.595,TL
LARKANA,R,74.642,EL-K
LARKANA,R,73.627,ES-K
LARKANA,R,73.544,ES-K
LARKANA,R,72.281,MN
LARKANA,R,72.072,TL
LARKANA,R,70.91,IN
LARKANA,R,70.778,CRP
LARKANA,R,70.705,IN
LARKANA,R,70.612,AR
LARKANA,R,70.507,BM
LARKANA,R,70.488,AR
LARKANA,R,70.337,PG-K
LARKANA,R,70.289,PG-K
LARKANA,R,70.153,CRP
LARKANA,R,69.775,MT
LARKANA,R,69.684,TE
LARKANA,R,69.27,SW-K
LARKANA,R,69.219,TE
LARKANA,R,69.097,MN
MATIARI,U,77.96,CE
MATIARI,U,77.402,ME
MATIARI,R,79.22399999999999,CE
MATIARI,R,77.839,BM
MATIARI,R,74.167,BM
MATIARI,R,73.134,EL
MATIARI,R,72.719,EL
MATIARI,R,72.449,PG
MATIARI,R,72.093,ES
MATIARI,R,71.986,ES
MATIARI,R,71.381,SW
MATIARI,R,71.233,SW
MATIARI,R,70.91,AR
MATIARI,R,70.673,CS
MATIARI,R,68.983,MTE
MATIARI,R,68.22800000000001,IN
MATIARI,R,67.695,AR
MATIARI,R,66.373,ME-K
MATIARI,R,66.17,CH
MATIARI,R,65.678,TL
MATIARI,R,65.627,MT
MATIARI,R,65.566,IN
MATIARI,R,65.565,TL
MATIARI,R,64.673,CRP
MATIARI,R,64.435,EE
MATIARI,R,62.667,MN
MATIARI,R,62.048,PG-K
MIRPURKHAS,U,77.308,ME
MIRPURKHAS,U,76.914,ME
MIRPURKHAS,U,76.764,EL
MIRPURKHAS,U,73.176,SW
MIRPURKHAS,U,72.955,EL
MIRPURKHAS,U,72.03699999999999,CS
MIRPURKHAS,U,71.279,ME
MIRPURKHAS,U,70.955,CS
MIRPURKHAS,U,70.851,ES
MIRPURKHAS,U,70.46600000000001,CS
MIRPURKHAS,U,70.36,CS
MIRPURKHAS,U,69.72,ES-K
MIRPURKHAS,U,68.766,ME-K
MIRPURKHAS,R,81.765,CE
MIRPURKHAS,R,80.444,CE
MIRPURKHAS,R,79.594,ES
MIRPURKHAS,R,78.558,EL
MIRPURKHAS,R,74.934,EL
MIRPURKHAS,R,74.26100000000001,ME
MIRPURKHAS,R,74.01899999999999,SW
MIRPURKHAS,R,73.54899999999999,EL
MIRPURKHAS,R,73.446,BM
MIRPURKHAS,R,72.666,ME
MIRPURKHAS,R,72.41,CE
MIRPURKHAS,R,72.319,CE
MIRPURKHAS,R,72.22399999999999,BM
MIRPURKHAS,R,72.145,CE
MIRPURKHAS,R,71.925,ME
MIRPURKHAS,R,71.61399999999999,EL
MIRPURKHAS,R,71.40899999999999,MTE
MIRPURKHAS,R,71.374,SW
MIRPURKHAS,R,71.199,MTE
MIRPURKHAS,R,71.118,SW
MIRPURKHAS,R,70.805,ES
