District,U/R,CPN,Discp.
Mirpurkhas,U,70.360,CS
Mirpurkhas,U,69.720,ES-K
Mirpurkhas,U,68.766,ME-K
Mirpurkhas,R,81.765,CE
Mirpurkhas,R,80.444,CE
Mirpurkhas,R,79.594,ES
Mirpurkhas,R,78.558,EL
Mirpurkhas,R,77.576,CH-L
Mirpurkhas,R,74.934,EL
Mirpurkhas,R,74.261,ME
Mirpurkhas,R,74.019,SW
Mirpurkhas,R,73.549,EL
Mirpurkhas,R,73.446,BM
Mirpurkhas,R,72.666,ME
Mirpurkhas,R,72.410,CE
Mirpurkhas,R,72.319,CE
Mirpurkhas,R,72.224,BM
Mirpurkhas,R,72.145,CE
Mirpurkhas,R,71.925,ME
Mirpurkhas,R,71.614,EL
Mirpurkhas,R,71.409,MTE
Mirpurkhas,R,71.374,SW
Mirpurkhas,R,71.199,MTE
Mirpurkhas,R,71.118,SW
Mirpurkhas,R,70.805,ES
Mirpurkhas,R,69.995,AR
Mirpurkhas,R,69.770,CE-K
Mirpurkhas,R,69.761,AR
Mirpurkhas,R,69.260,TL-P
Mirpurkhas,R,69.220,PG
Mirpurkhas,R,68.866,CH
Mirpurkhas,R,68.755,CH
Mirpurkhas,R,68.562,CRP
Mirpurkhas,R,68.368,PG-P
Mirpurkhas,R,68.047,TE
Mirpurkhas,R,67.990,MT
Mirpurkhas,R,67.875,TL
Mirpurkhas,R,67.813,TL
Mirpurkhas,R,67.796,TL
Mirpurkhas,R,67.733,TE
Mirpurkhas,R,67.676,EE
Mirpurkhas,R,67.305,EE
Mirpurkhas,R,67.235,TE
Mirpurkhas,R,66.996,MN
Mirpurkhas,R,66.829,IN
Mirpurkhas,R,66.547,IN
Mirpurkhas,R,66.520,EL-K
Mirpurkhas,R,66.337,CRP
Mirpurkhas,R,66.308,MT-P
Mirpurkhas,R,66.197,MN
Mirpurkhas,R,65.695,CRP
Mirpurkhas,R,65.525,PG-K
Mirpurkhas,R,65.462,SW-K
N.Feroze,U,81.060,ME
N.Feroze,U,75.034,SW
N.Feroze,U,71.771,PG-K
